Easy,Hard_1,Hard_2,Hard_3
Examen,Examen sorpresa,Examen final,Examen diagnóstico
Lado,Lado oscuro,Lado positivo,Lado izquierdo
Amor,Amor eterno,Amor verdadero,Amor a primera vista
Mente,Mente abierta,Mente brillante,Mente en blanco
Lengua,Lengua materna,Lengua afilada,Lengua de señas
Piel,Piel de gallina,Piel suave,Piel sensible
Cabello,Cabello rizado,Cabello sedoso,Cabello teñido
División,División celular,División de bienes,División de trabajo
Charla,Charla motivacional,Charla informativa,Charla amistosa
Fantasma,Fantasma del pasado,Fantasma aterrador,Fantasma amigable
Valla,Valla publicitaria,Valla de seguridad,Valla de madera
Ventana,Ventana rota,Ventana abierta,Ventana de oportunidades
Taco,Taco de billar,Taco mexicano,Taco de carne
Boda,Boda de plata,Boda real,Boda íntima
Celo,Celo profesional,Celo amoroso,Celo excesivo
Otoño,Otoño dorado,Otoño lluvioso,Otoño melancólico
Esposa,Esposa fiel,Esposa amorosa,Esposa dedicada
Retrete,Retrete sucio,Retrete roto,Retrete portátil
Sol,Sol naciente,Sol radiante,Sol de medianoche
Golf,Golf de campeonato,Golf profesional,Golf en miniatura
Donut,Donut de chocolate,Donut glaseado,Donut relleno
Juguete,Juguete roto,Juguete educativo,Juguete de peluche
Lavado,Lavado en seco,Lavado rápido,Lavado de autos
Caminata,Caminata nocturna,Caminata relajante,Caminata larga
Vacío,Vacío legal,Vacío existencial,Vacío emocional
Correo,Correo electrónico,Correo urgente,Correo postal
Rana,Rana saltarina,Rana verde,Rana gigante
Familia,Familia nuclear,Familia extensa,Familia adoptiva
Cuchara,Cuchara sopera,Cuchara de madera,Cuchara de plata
Sabor,Sabor amargo,Sabor dulce,Sabor intenso
Funeral,Funeral simbólico,Funeral triste,Funeral multitudinario
Oro,Oro macizo,Oro brillante,Oro de 24 quilates
Ballena,Ballena azul,Ballena jorobada,Ballena asesina
Banco,Banco de sangre,Banco central,Banco de madera
Periódico,Periódico local,Periódico antiguo,Periódico digital
Fregadero,Fregadero sucio,Fregadero lleno,Fregadero roto
Frigorífico,Frigorífico vacío,Frigorífico antiguo,Frigorífico lleno
Alto,Alto mando,Alto rendimiento,Alto voltaje
Frito,Frito variado,Frito crujiente,Frito rápido
Guante,Guante de seda,Guante de boxeo,Guante térmico
